epoch,loss,mae,val_loss,val_mae
0,29501170.0,3388.163330078125,20825612.0,2513.597900390625
1,28416482.0,3176.6416015625,20749078.0,2685.819580078125
2,29871652.0,3372.12255859375,22665512.0,2480.718994140625
3,30408230.0,3461.1875,20841216.0,2559.369384765625
4,30320526.0,3270.7333984375,21615686.0,2467.54345703125
5,28232488.0,3172.510498046875,21470634.0,2558.055419921875
6,31398398.0,3387.57958984375,21882446.0,2518.596435546875
7,27810906.0,3167.336181640625,21498186.0,2696.944580078125
8,30393988.0,3458.79736328125,20823518.0,2719.078857421875
9,28793798.0,3246.144775390625,21976552.0,2435.40283203125
10,29080396.0,3253.437255859375,22208146.0,2529.551513671875
11,29062138.0,3257.1357421875,20947784.0,2801.50341796875
12,34037400.0,3448.568115234375,21336078.0,2744.917724609375
13,30692174.0,3545.677490234375,21568594.0,2549.34521484375
14,30232790.0,3289.055908203125,20542990.0,2728.19384765625
15,29966388.0,3374.8759765625,21997434.0,2577.107177734375
16,27279226.0,3201.70068359375,20745774.0,2661.771240234375
17,29055682.0,3304.271728515625,21713982.0,2542.49609375
18,31242600.0,3437.897705078125,21322726.0,2534.3154296875
19,31350424.0,3375.65087890625,20657300.0,2758.7861328125
20,31946534.0,3437.3134765625,22308770.0,2577.666748046875
21,29348438.0,3309.02783203125,21918246.0,2554.5029296875
22,29408798.0,3262.79931640625,21198576.0,2628.857421875
23,30233026.0,3357.383056640625,22895040.0,2553.420654296875
24,29051788.0,3320.637451171875,20953676.0,2660.7431640625
25,29109282.0,3264.3515625,21898056.0,2482.2802734375
26,31227532.0,3543.329345703125,20886458.0,2535.06884765625
27,29600722.0,3169.591552734375,20944934.0,2821.5654296875
28,29461812.0,3418.28857421875,21469314.0,2519.56689453125
29,30166212.0,3258.258544921875,20980172.0,2630.77783203125
